fips,diabetes,inactivity,mental_health,obesity,smoking
13055,14.75,34.35,20.65,35.15,21.45
13057,10.25,23.35,16.4,33.3,11.7
13059,12.1,26.2,18.75,31.95,13.35
13061,18.8,35.9,18.85,41.75,17.9
13063,16.15,32.7,19.1,45.0,15.95
13065,16.05,35.0,20.7,41.8,21.35
13067,10.5,21.45,15.15,29.75,10.35
13069,15.55,34.8,20.6,39.35,20.8
13071,15.75,34.6,20.0,35.75,19.3
13073,11.3,24.0,16.4,32.95,11.85
13075,15.45,32.05,20.4,37.6,19.9
13077,11.6,24.5,16.45,35.45,12.25
13079,13.8,29.5,18.6,37.1,17.2
13081,17.7,36.1,20.2,44.75,20.15
13083,11.4,25.7,18.4,35.15,15.5
13085,10.6,22.95,16.7,31.55,12.75
13087,16.55,34.05,20.1,42.3,19.15
13089,12.65,22.4,15.9,31.65,11.45
13091,15.3,32.95,19.5,40.4,18.9
13093,16.75,33.6,18.2,41.05,18.25
13095,18.05,33.75,19.65,42.3,18.1
13097,13.15,26.95,17.3,36.1,13.6
13099,17.15,35.25,19.85,40.9,19.15
13101,12.95,30.35,18.2,38.05,16.15
13103,10.95,24.35,17.45,37.55,13.9
13105,14.95,31.75,19.0,38.25,18.05
13107,15.55,35.5,20.2,42.75,20.45
13109,15.8,34.75,19.85,42.5,19.4
13111,13.8,28.45,17.6,38.2,16.6
13113,11.3,20.55,14.6,30.65,9.7
13115,13.35,28.35,18.95,37.5,16.25
13117,9.35,19.9,13.45,27.25,9.0
13119,13.55,30.25,19.6,39.2,18.25
13121,10.8,20.05,15.35,28.15,9.9
13123,13.0,27.55,17.3,34.15,15.25
13125,13.15,29.75,19.5,37.4,18.2
13127,13.65,27.3,17.35,35.3,14.7
13129,13.05,31.15,19.1,35.15,17.3
13131,15.6,35.05,19.25,38.5,18.05
13133,13.25,25.55,15.55,34.1,12.45
13135,12.3,27.3,15.5,34.7,11.6
13137,12.0,27.45,18.15,32.45,15.3
13139,12.5,27.95,17.05,32.4,14.1
13141,20.55,38.85,19.75,44.95,22.3
13143,11.8,26.45,19.4,36.0,17.35
13145,11.25,22.05,16.05,32.7,12.2
13147,13.6,28.4,18.2,35.15,16.3
13149,13.1,29.95,19.75,35.45,18.4
13151,12.9,25.1,17.05,44.95,12.8
13153,12.65,24.7,17.25,39.6,13.0
13155,14.85,32.65,19.45,40.35,18.55
13157,11.0,25.3,17.25,32.75,14.5
13159,13.35,29.7,18.8,36.85,17.3
13161,15.4,35.25,20.6,40.4,20.75
13163,17.0,36.0,20.05,41.3,20.1
13165,17.25,37.0,20.8,42.55,22.1
13167,16.65,34.9,19.85,43.5,21.7
13169,13.2,29.3,18.55,39.6,16.0
13171,12.85,28.3,18.85,36.85,15.85
13173,15.25,33.45,20.1,40.9,19.8
13175,15.15,33.55,19.45,44.05,18.35
13177,11.25,23.2,16.95,38.9,13.0
13179,12.75,28.85,18.8,33.1,14.85
13181,15.7,31.65,18.9,38.0,18.3
13183,12.7,30.0,19.5,38.15,17.0
13185,13.15,29.5,19.15,39.45,15.6
13187,11.15,25.0,18.45,29.95,14.45
13189,15.25,31.55,19.25,39.0,17.55
13191,17.45,35.2,19.25,40.8,19.7
13193,19.8,40.8,20.1,43.85,22.95
13195,13.55,31.15,19.4,37.95,18.2
13197,16.5,33.35,19.1,38.55,18.7
13199,15.8,33.85,19.45,41.35,18.8
13201,15.85,33.2,19.35,42.1,18.25
13205,17.0,34.2,19.9,45.1,19.45
13207,12.0,25.3,17.45,34.8,14.3
13209,14.45,31.1,18.95,39.7,17.35
13211,11.5,24.05,16.85,31.65,13.15
13213,12.45,28.75,18.9,41.35,17.0
13215,14.55,29.6,18.9,40.35,15.25
13217,13.85,30.15,18.45,42.35,14.85
13219,9.2,17.8,14.5,28.65,9.35
13221,12.75,27.55,17.95,36.2,15.35
13223,11.25,22.9,17.2,38.05,12.55
13225,14.15,29.15,18.3,39.85,14.75
13227,11.95,25.6,18.1,34.85,15.25
13229,13.2,30.0,19.4,36.25,18.3
13231,11.05,24.9,18.1,35.75,14.9
13233,13.3,31.0,19.4,40.35,17.95
13235,15.3,33.35,20.5,40.95,19.15
13237,14.9,29.5,17.9,39.5,15.75
13239,19.8,37.25,19.3,42.8,20.1
13241,13.2,27.55,16.95,34.25,14.9
13243,21.9,41.05,20.65,46.05,21.85
13245,16.3,30.5,19.55,36.9,16.5
13247,15.85,29.8,17.55,38.95,14.15
13249,13.6,28.55,18.55,37.3,16.2
13251,15.95,32.15,19.4,39.85,18.35
13253,15.7,32.0,18.7,39.7,17.45
13255,14.8,30.65,18.9,39.8,17.2
